Modelo,CV Mean R2,Hold-out R2,MAE ($),RMSE ($),Overfitting Gap,Total Time (s),Train Time (s),Mejores Params
LinearRegression,0.526295383945929,0.5471910033986388,57.32033298085745,196.29274988745723,-0.019953537985252123,3.0949792861938477,0.012587785720825195,{}
Ridge,0.5262961555189943,0.5471866866092363,57.31932883897374,196.29482060654897,-0.019949251267948886,0.4462926387786865,0.0,{'alpha': 10.0}
Lasso,0.5241908328472453,0.5435227272205823,57.21958302704542,196.9151717793906,-0.018652896563639,0.5716049671173096,0.12331151962280273,{'alpha': 0.01}
DecisionTree,0.4819873994764013,0.5027333430024805,59.722257127220715,197.9728863811934,-0.005067545464341849,1.3735220432281494,0.2596547603607178,{'max_depth': 5}
RandomForest,0.5626724617152804,0.5794418915387214,55.49401632160125,194.48774585769505,0.07603795681997683,13.984624862670898,2.9952621459960938,"{'max_depth': 10, 'n_estimators': 100}"
AdaBoost,0.44712219496215955,0.45461168136800467,62.79143770427895,199.04362066708939,-0.006304988463072481,25.10233235359192,8.024876356124878,"{'learning_rate': 0.1, 'n_estimators': 50}"
XGBoost,0.56718777582654,0.5863824312359742,55.409455084339925,193.10703821475653,0.02875787685388953,6.595786809921265,0.7348248958587646,"{'learning_rate': 0.1, 'max_depth': 3}"
LinearSVR,0.5262958830932029,0.5471982895738386,57.315618113742346,196.29659650218332,-0.01996132292190389,0.4315013885498047,0.016614198684692383,{'C': 1.0}
SVR_RBF,0.5672785993863363,0.5898679950352079,54.2957149885245,194.85416775387864,-0.002692898450418091,247.51489329338074,40.18981862068176,"{'C': 1, 'gamma': 'scale'}"
Bagging_LSVR,0.5261411603443028,0.5474884037958334,57.27858900418949,196.29365119035208,-0.02033153500076401,7.931774616241455,3.1542739868164062,{'n_estimators': 5}
Voting_Assembly,0.5686274120089654,0.5866121687250123,55.15753556465457,193.95967060638844,0.04142154633710193,74.50033688545227,28.435351610183716,"{'weights': [0.4, 0.4, 0.2]}"
Stacking,0.5254859824475929,0.5457571275105616,57.161324439093875,196.705663796992,-0.019382989143609475,1.1568069458007812,0.45649003982543945,{}
